"id","puntaje","comentario","valid_response"
6,1,"Nada más que agregar
Solamente muchas gracias 😊",1
14,1,joya,1
15,1,👏🏼👏🏼👏🏼✨,1
16,1,"Todo muy rico, excelente servicio! Muchas gracias!",1
17,2,Todo en orden.,1
18,2,todo ok,1
19,3,todo ok,1
20,1,Todo ok,1
21,2,Todo de 10,1
22,2,Todo muy bien,1
23,1,Excelente disposición y ayuda...muy recomendable...ya envié otros clientes,1
24,1,"1",0
26,1,No,0
27,1,Ok,0
29,1,No,0
30,1,Si,0
31,1,"1",0
32,1,Si,0
33,1,No,0
34,1,Ok,0
35,1,"Es excelente la calidad de los productos, la facilidad  para gestionarlos, el precio y el servicio de transporte a domicilio.",1
36,2,El envío siempre a sido rápido y nunca me faltó algún producto comprado y las carnes son de muy buena calidad,1
37,2,Como compradora puedo decir q cuentan con productos accesibles y de calidad.,1
38,1,"La atención es muy buena.
El servicio es rápido y eficaz en toda la línea
La carne es excelente
Los precios son adecuados
Por todo esto voy a seguir comprando allí",1
39,2,"Hasta ahora el servicio muy bien, el producto todavía no lo he consumido para dar una respuesta al respecto  ni bien lo haga comento",1
40,2,Sólo me hubiera gustado que me respondan el mensaje que envié hoy a las 10 de la mañana,1
41,1,"Es fácil para comprar, sin complicaciones.  Rápido la entrega y muy buenos precios y productos.",1
42,1,No,0
43,2,Excelente atención!,1
44,1,Muy buena calidad,1
45,3,Debería extender el.reparto,1
46,1,No,0
47,1,Ok,0
48,1,Siempre muy buena atención.  Y productos de calidad,0
49,1,No,0
50,1,"Exelente, facil de hacer el oedido llegó  rapidicimo, lo mejor de todo el producto🐷🐽 😊👍👍",1
51,2,"Es un servicio, ágil y cómodo.",1
52,1,"calidad, cordialidad, eficiencia",1
54,1,Es muy buena la calidad de la carne y la atención es excelente.,1
55,2,La calidad de los productos siempre ha Sido de buena a muy buena. Mientras siga así continuaré comprando. Saludos,1
56,1,Si,0
57,1,Eficiencia y calidad de los productos,1
58,2,Me gusta buena atención y cumplidores,1
59,1,Bueno,0
60,1,"... quisiera  saber  como  se  logra  tener  unos  cupones  descuentos  ... les  consulte  por  gmail  hace tiempo  peeo  no  me  han  dado  datos  ...¡!¡!
Gracias  ...🍁",0
61,1,No,0
62,1,Holaaa,0
63,1,Excelente calidad y atención,1
64,1,Siempre todo perfecto!,1
65,2,Si,0
66,1,"Rapidez en la entrega, cumplen con los plazos y productos de excelente calidad",1
67,1,"Productos de Calidad, excelente atención online y personal.",1
68,1,Muy clara la página para saber que corte conviene comprar. Excelente el servicio a domicilio y los productos muy buenos. Y lo mejorves encontrar cortes que normalmente no encontrás en las carnicerias.,1
69,1,No,0
70,1,Maravilloso,1
71,2,Todo más que bien 🙌🏼,1
72,1,Todo muy bien 💪🏼,1
73,1,Todo de 10 👏🏼👏🏼🙌🏼✨,1
74,1,"1",0
75,1,"1!!!",0
76,1,Todo OK,0
77,3,Sin haberlo cocinado,1
78,1,"Página amigable, excelente mercaderia, atención impecable!!!",1
79,1,Todo ok,1
80,1,Tomo muy bien 💪🏼💪🏼😁,1
81,1,"Es una exelente firma por servicio y productos .
Estoy esperando los cupones de descuento",1
82,1,"La verdad q realize un reclamo hoy ...sin esperar nada a cambio, solo era una critica constructiva .
Y me encontre con q no solo me escucharon si no q tuvieron una atencion para conmigo.
Q mas puede pedir un cliente....nada mas , mas q feliz !!!!
Y tengo q recatar q la atencion de las chicas en recepcion es genial , unos de sus puntos mas altos !!!!
Gracias y buen finde .",1
83,1,"Buena carne, buenos precios, buena atención!",1
84,1,No se me ocurre nada. Muy buen servicio,1
85,1,Excelentes productos,1
86,1,Si,1
87,1,Si,1
88,1,"Buena calidad, buena atención, super recomendable.",1
89,1,Si lo hare,1
90,1,Son muy confiables y venden productos de muy buena calidad.,1
91,1,Si,1
93,1,Todo en tiempo y forma y los productos muy bueno tendrías q hacer una parte solo ofertas para agilizar,1
94,1,Si,1
95,1,Muy buena calidad y excelente el tiempo de envío. .. realmente satisfecho,1
96,1,"Muy buena atención, envío a domicilio en término y productos excelentes",1
97,1,Muy buen servicio. Agil,1
98,1,"1",0
99,2,No,0
100,2,Excelente calidad en carne de cerdo y vacuna.,1
101,2,No,0
102,1,No,0
104,2,"Si muy buena la calidad de la carne, brindan un buen servicio y el envío gratis también gana muchos puntos!!!",1
105,1,Si,0
106,1,"1",0
107,1,"1",0
108,1,Por ahora no,1
109,1,"Si,muy responsables y cumplidores.",1
119,1,"Ya compré 4 veces y en todas, la calidad de la carne es muy buena: tierna, fresca y sabrosa.",1
111,2,No,0
112,2,Excelente atención y buenos precios,1
113,1,como siempre,1
114,2,Muy útil el servicio,1
115,1,Siempre compro y todo de calidad,1
116,2,👍🏽,0
117,1,Calidad del producto,1
118,2,👍🏻,0
120,2,"Es un sistema de venta muy cómodo, muy buena calidad productos, variedad  de cortes y especies. Fasil acceso para retirar.",1
125,1,Salió todo muy bien 💪🏼,1
121,2,Hola buen día disculpa sabes q compre carne y hice 2 compras y una no me aparece en Gmail  a ustedes le aparece,0
122,2,Hola hoy atienden?,0
123,1,👍,0
124,1,Gracias!!,0
126,1,Todo muy bien 👏🏼,1
127,1,Super conforme. Muy buen servicio y siempre muy amables en la atención,1
128,2,Muy buena presentación y excelente HIGIENE.  Cuando disfrute de los Cortes le transmitiré mi opinión referida a la carne,1
129,1,"Exelente calidad
No pierdo tiempo en hacer colas
Pago con mercado pago
Y el tiempo de entrega es rápido....   Muchas gracias por sus servicios",1
130,2,"Así está bien, lo recomiendo a mis amistades y conocidos",1
131,1,Sistema de ventas muy cómodo y práctico. Excelente distribución y calidad de los productos. Para la parrilla hsy cortes que no es facil conseguir en carnicerias.,1
132,3,Las descripciones no son tan claras,1
133,1,"Estoy conforme con el servicio y la calidad del producto, quedé siempre como un campeón a la hora de cocinar así que gracias 😎",1
136,2,👍,1
134,1,"2",0
135,1,No,0
137,2,Es rápido sin hacer colas y hay que ponerce de acuerdo con otras personas para comprar por cantidad. Gracias por los servicios .,1
142,2,"Si, de echo los recomiendo!",1
138,1,Si,0
139,1,"1",0
140,2,No,0
141,1,Ok,0
143,2,"Que es ágil, simple y cumplen con lo acordado.",1
144,1,Los precios son los mejores y la calidad es excelente. La atención impecable. Muchas Gracias.,1
148,1,"Es práctico. 
Exquisita carne.",1
145,2,Si,0
146,1,💪,0
147,1,"1",0
152,1,Muy Buena,1
149,1,Si,0
151,1,Si,0
153,1,Siempre todo en condiciones y muy buenos productos y precios,1
154,1,Todo ok 🔥,1
155,1,Todo de 10!,1
160,2,Muy buenos productos y muy buena atención,1
156,2,"Por ahora no, gracias",0
157,1,Por ahora no,0
158,1,"1",0
162,1,"Siempre obtengo mercadería de muy buena calidad, los retiros en planta son rápidos, el personal que atiende público, es con el único que se mantiene contacto, es muy servicial y amable. Sigo comprando periódicamente en Senderos de Raza",1
161,1,"1",0
164,1,Todo muy bien 👏🏼👏🏼,1
163,2,Si,0
168,1,Muchísimas gracias!,1
165,2,Hola buen dia! queria consultar aproximadamente cuantos pollos trae la caja,0
166,1,Cómo siempre no falla,0
167,3,??,0
169,1,Todo excelente 👾,1
170,1,"comenzamos a necesitar mas herramientas para poder adquirir productos y servicios de manera remota o virtual, y realmente éste sitio cuenta con todo lo que se necesita para vivir una experiencia de compra satisfactoria, con imágenes, precios publicados, alternativas de pago, envío a domicilio sin cargo, sin dejar de lado el buen precio y una carne espectacular.",1
171,1,🔥👏🏼👾,1
175,1,Todo de 10 🤖,1
172,1,Si,0
173,1,Si!,0
174,1,"1",0
176,1,No,0
110,2,👍🏻,0
179,1,No,0
182,1,"Rápido , súper cómodo y mercaderia excelente calidad",1
181,1,👍🏿,0
183,1,Que la calidad es excelente,1
184,1,Buen dia me podes decir en la segunda compra de Rib cuantos kilos son ?,1
186,1,Excelente el servicio y la calidad de los productos que ofrecen,1
185,2,No gracias!,0
187,2,Muy buena y rápida la entrega!!,1
188,1,Que son totalmente recomendables y eficientes,1
190,2,"No, ya los he recomendado a mis conocidos",1
193,2,"Muy bueno el sistema, el precio del corte que compré también... no les puse excelente nomas porque todavía no lo hice pero hasta ahora va todo excelente",1
191,1,Si no hay problema,0
192,1,No,0
